"SPPCODE","lon","lat","bioclim_01","bioclim_04","bioclim_05","bioclim_06","bioclim_12","bioclim_15","bioclim_16","bioclim_17"
"Acrobates_pygmaeus",150.51,-34.73,16.6,3.8,26.9,5.7,1110,0.214196885412401,350,209
"Acrobates_pygmaeus",149.16,-35.72,12.4,5.2,27.1,-1.1,647,0.184325706474769,193,128
"Acrobates_pygmaeus",148.6,-35.27,10.6,5.3,24.7,-0.6,1218,0.246847525543799,398,213
"Acrobates_pygmaeus",150.37,-33.71,12.8,4.5,24.5,2.1,1269,0.355766824100867,483,202
"Acrobates_pygmaeus",140.8,-34.11,17.5,5.1,32.5,4.9,252,0.294817375172342,84,41
"Acrobates_pygmaeus",149.22,-35.28,13.3,5.4,28.1,0,599,0.149474109228848,177,124
"Acrobates_pygmaeus",149.16,-35.65,11.7,5.1,26.3,-1.3,674,0.182396977255123,204,136
"Acrobates_pygmaeus",152.94,-29.68,19.3,4.2,30.1,5.8,1022,0.483312723360463,397,98
"Acrobates_pygmaeus",151.35,-33.43,17.4,3.8,26.8,6.8,1295,0.297834566508938,440,210
"Acrobates_pygmaeus",150.5,-34.35,14.2,4.5,26.2,2.4,884,0.246277792514148,286,152
"Acrobates_pygmaeus",152.96,-28.63,19,4.3,30.4,5,1088,0.481189268744212,429,108
"Acrobates_pygmaeus",149.94,-35.47,12.7,4.6,25.7,0.7,868,0.199742414842626,264,167
"Acrobates_pygmaeus",153,-30.59,18.9,3.8,28.4,7.5,1452,0.475015951363844,569,151
"Acrobates_pygmaeus",150.02,-33.8,11.3,4.8,24.2,0.1,923,0.132610372953436,272,199
"Acrobates_pygmaeus",150.13,-33.76,13.7,5,27.2,1.1,792,0.235695082057948,266,157
"Acrobates_pygmaeus",153.26,-29.18,19.3,3.8,29,7.6,1328,0.457594287820958,504,144
"Acrobates_pygmaeus",149.4,-36.98,10,4.3,22.3,-0.8,1018,0.160861807933468,287,215
"Acrobates_pygmaeus",149.65,-37.34,14.2,3.6,24.2,4,936,0.138073075567592,261,214
"Acrobates_pygmaeus",150.13,-36.17,15.9,3.3,24.5,5.4,931,0.22443802077843,288,164
"Acrobates_pygmaeus",149.66,-36.9,13.3,4.1,24.8,1.6,934,0.220903969847663,267,175
"Acrobates_pygmaeus",149.74,-36.4,13.5,4.3,25.4,1.1,922,0.290632895631621,283,143
"Acrobates_pygmaeus",151.11,-33.81,17.7,4,27.6,6.5,1072,0.269758591510881,355,182
"Acrobates_pygmaeus",149.97,-36.73,15.4,3.6,25,4.3,880,0.224163309703173,266,162
"Acrobates_pygmaeus",151.08,-33.67,17.6,4.1,28.1,6,1038,0.294936003374119,361,167
"Acrobates_pygmaeus",149.62,-37.22,13.8,3.8,24.3,2.9,916,0.145084389111172,259,203
"Acrobates_pygmaeus",149.94,-36.8,15.4,3.6,25,4.2,839,0.221200517242394,252,154
"Acrobates_pygmaeus",152.56,-31.98,18.2,3.8,27.8,6.9,1221,0.383584046861368,437,167
"Acrobates_pygmaeus",151.4,-33.51,17.4,3.6,26.2,7.4,1361,0.282744815486892,451,229
"Acrobates_pygmaeus",151.26,-32.24,15.5,4.7,28.2,3.4,1031,0.24576046738599,345,187
"Acrobates_pygmaeus",151.05,-31.57,14.6,5.2,28.6,1.2,889,0.221826884999321,287,169
"Acrobates_pygmaeus",153.01,-30.03,18.2,4.1,28.4,5.6,1290,0.442452699102389,487,135
"Acrobates_pygmaeus",152.94,-30.27,17.4,4.2,27.8,4.5,1623,0.483705035635478,654,164
"Acrobates_pygmaeus",151.04,-30.81,13.6,5.4,28,0,850,0.261622362521984,287,157
"Acrobates_pygmaeus",150.34,-33.72,12.5,4.4,24.1,2,1253,0.342383231216218,471,205
"Acrobates_pygmaeus",150.29,-33.89,15.1,4.9,28.5,1.7,826,0.335393079728869,307,136
"Acrobates_pygmaeus",150.44,-33.72,13.7,4.6,25.7,2.2,1220,0.374614615401006,472,185
"Acrobates_pygmaeus",150.74,-23.27,22.4,3.7,30.3,11.5,995,0.545531540904683,423,95
"Acrobates_pygmaeus",153.49,-28.42,19.4,3.4,28,9.1,1886,0.455454600668267,723,202
"Acrobates_pygmaeus",151.44,-33.35,18,3.7,26.8,7.5,1266,0.30293771971741,429,208
"Acrobates_pygmaeus",151.35,-33.4,17.7,3.8,27.2,6.6,1257,0.30609346253614,433,202
"Acrobates_pygmaeus",151.74,-29.73,13.4,4.8,25.9,0.2,850,0.377847830802919,322,136
"Acrobates_pygmaeus",153.23,-29.7,19.4,3.6,28.1,8.3,1261,0.441610266924181,465,140
"Acrobates_pygmaeus",149.72,-34.75,13.4,5.2,27.8,0.7,618,0.130260016439483,174,132
"Acrobates_pygmaeus",145.37,-37.85,12.2,3.8,23.4,4.2,1236,0.19980237934683,365,217
"Acrobates_pygmaeus",148.63,-34.82,14.2,5.7,29.6,1.7,766,0.217595496326795,243,139
"Acrobates_pygmaeus",151.75,-32.4,18,4.5,30.3,5.3,1013,0.37460182895126,376,135
"Acrobates_pygmaeus",150.94,-33.85,17.7,4.3,28.8,5.4,856,0.305747818454166,301,133
"Acrobates_pygmaeus",148.91,-34.85,14.2,5.6,29.3,1.5,673,0.159937641090097,199,135
"Acrobates_pygmaeus",152.54,-31.65,17.5,3.9,27.9,6,1428,0.448316887410842,561,154
"Acrobates_pygmaeus",150.7,-33.57,17.6,4.7,30,4.1,834,0.369274410789271,317,126
"Acrobates_pygmaeus",152.4,-28.88,16.8,4.3,28.2,3.7,1067,0.52617705358861,439,101
"Acrobates_pygmaeus",150.01,-33.53,12.3,5,26,0.3,760,0.158620662992598,221,150
"Acrobates_pygmaeus",151.01,-33.8,17.8,4.2,28.5,5.8,932,0.302285640563276,326,147
"Acrobates_pygmaeus",151.15,-33.65,17.6,4,27.7,6.4,1115,0.281448749204489,377,183
"Acrobates_pygmaeus",150.45,-34.87,16.9,3.7,26.9,6.1,978,0.219385178847584,307,180
"Acrobates_pygmaeus",150.04,-33.82,12.2,4.9,25.4,0.5,909,0.156501294320651,278,193
"Acrobates_pygmaeus",149.58,-36.83,12.7,4.3,24.9,0.7,908,0.227964726845643,263,167
